Apartment,Area_m2
Adriana N1204,54.162449
Aurelia F204,54.162449
Aurora C 102,78.595938
Aurora D604,78.595938
Cielo F106,68.469511
Clara G 1404,82.033349
Elite A401,47.287627
Elite E 1006,47.287627
Elite I 901,59.922435
Estella E 1106,41.156029
Estella E201,41.156029
Eviva L1702,60.294047
Fresca C909,66.332742
Lagoona B104,82.68367
Lagoona F402,66.611451
Lakeside A 701,68.655317
Lakeside B 101,68.655317
Lakeside B 1203,59.179211
Lakeside G 1203(2),81.847543
Lakeside I 1001,68.562414
Lakeside K 502,78.595938
Lakeside O 1106,68.655317
Marvella A1801,41.156029
Marvella G1403,62.709525
Uno H 505,68.655317
Uno H1602,68.655317
Uno K 1505,66.611451
Uno M404,85.563663
Urabno Q606,68.376608
Urbano E8022,41.156029
Urbano J005,58.52889
Urbano J1601,68.655317
Urbano M501,68.655317
Viento A 1102,68.469511
