Apartment,Year,Month,Total_kWh
Adriana N1204,2023,5,148
Adriana N1204,2024,5,127
Aurelia F204,2023,5,230
Aurelia F204,2024,5,263
Aurora C 102,2023,5,0
AURORA-C-102,2024,5,494
Aurora D604,2023,5,0
AURORA-D-604,2024,5,0
Cielo F106,2023,5,349
Cielo F106,2024,5,303
Clara G 1404,2023,5,141
Clara G 1404,2024,5,687
Elite A401,2023,5,81
Elite A401,2024,5,90
Elite E 1006,2023,5,358
Elite E 1006,2024,5,295
Elite I 901,2023,5,452
Elite I 901,2024,5,206
Estella E 1106,2023,5,42
Estella E 1106,2024,5,16
Estella E201,2023,5,252
Estella E201,2024,5,295
Eviva L1702,2023,5,245
Eviva L1702,2024,5,269
Fresca C909,2023,5,0
Fresca C909,2024,5,427
Lagoona B104,2023,5,108
Lagoona B104,2024,5,138
Lagoona F402,2023,5,565
Lagoona F402,2024,5,538
Lakeside A 701,2023,5,6
Lakeside A 701,2024,5,296
Lakeside B 101,2023,5,457
Lakeside B 101,2024,5,191
Lakeside B 1203,2023,5,498
Lakeside B 1203,2024,5,232
Lakeside G 1203(2),2023,5,280
Lakeside G 1203(2),2024,5,33
Lakeside I 1001,2023,5,463
Lakeside I 1001,2024,5,348
Lakeside K 502,2023,5,368
Lakeside K 502,2024,5,485
Lakeside O 1106,2023,5,247
Lakeside O 1106,2024,5,348
Marvella A1801,2023,5,18
Marvella A1801,2024,5,569
Marvella G1403,2023,5,177
Marvella G1403,2024,5,214
Uno H1602,2023,5,461
Uno H1602,2024,5,367
Uno H 505,2023,5,23
Uno H 505,2024,5,190
Uno K 1505,2023,5,170
Uno K 1505,2024,5,231
Uno M404,2023,5,0
Uno M404,2024,5,15
Urbano E8022,2023,5,200
Urbano E8022,2024,5,218
Urbano J1601,2023,5,0
Urbano J1601,2024,5,177
Urbano J005,2023,5,48
Urbano J005,2024,5,26
Urbano M501,2023,5,325
Urbano M501,2024,5,502
Urabno Q606,2023,5,342
Urabno Q606,2024,5,268
Viento A 1102,2023,5,219
Viento A 1102,2024,5,482
